Dataset  order,Sepal length,Sepal  width,Petal length,Petal width,Species
88,6.3,2.3,4.4,1.3,L. versicolor
89,5.6,3,4.1,1.3,L. versicolor
90,5.5,2.5,4,1.3,L. versicolor
91,5.5,2.6,4.4,1.2,L. versicolor
92,6.1,3,4.6,1.4,L. versicolor
93,5.8,2.6,4,1.2,L. versicolor
94,5,2.3,3.3,1,L. versicolor
95,5.6,2.7,4.2,1.3,L. versicolor
96,5.7,3,4.2,1.2,L. versicolor
97,5.7,2.9,4.2,1.3,L. versicolor
98,6.2,2.9,4.3,1.3,L. versicolor
99,5.1,2.5,3,1.1,L. versicolor
100,5.7,2.8,4.1,1.3,L. versicolor
101,6.3,3.3,6,2.5,L. virginica
102,5.8,2.7,5.1,1.9,L. virginica
103,7.1,3,5.9,2.1,L. virginica
104,6.3,2.9,5.6,1.8,L. virginica
105,6.5,3,5.8,2.2,L. virginica
106,7.6,3,6.6,2.1,L. virginica
107,4.9,2.5,4.5,1.7,L. virginica
108,7.3,2.9,6.3,1.8,L. virginica
109,6.7,2.5,5.8,1.8,L. virginica
110,7.2,3.6,6.1,2.5,L. virginica
111,6.5,3.2,5.1,2,L. virginica
112,6.4,2.7,5.3,1.9,L. virginica
113,6.8,3,5.5,2.1,L. virginica
114,5.7,2.5,5,2,L. virginica
115,5.8,2.8,5.1,2.4,L. virginica
116,6.4,3.2,5.3,2.3,L. virginica
117,6.5,3,5.5,1.8,L. virginica
118,7.7,3.8,6.7,2.2,L. virginica
119,7.7,2.6,6.9,2.3,L. virginica
120,6,2.2,5,1.5,L. virginica
121,6.9,3.2,5.7,2.3,L. virginica
122,5.6,2.8,4.9,2,L. virginica
123,7.7,2.8,6.7,2,L. virginica
124,6.3,2.7,4.9,1.8,L. virginica
125,6.7,3.3,5.7,2.1,L. virginica
126,7.2,3.2,6,1.8,L. virginica
127,6.2,2.8,4.8,1.8,L. virginica
128,6.1,3,4.9,1.8,L. virginica
129,6.4,2.8,5.6,2.1,L. virginica
130,7.2,3,5.8,1.6,L. virginica
131,7.4,2.8,6.1,1.9,L. virginica
132,7.9,3.8,6.4,2,L. virginica
133,6.4,2.8,5.6,2.2,L. virginica
134,6.3,2.8,5.1,1.5,L. virginica
135,6.1,2.6,5.6,1.4,L. virginica
136,7.7,3,6.1,2.3,L. virginica
137,6.3,3.4,5.6,2.4,L. virginica
138,6.4,3.1,5.5,1.8,L. virginica
139,6,3,4.8,1.8,L. virginica
140,6.9,3.1,5.4,2.1,L. virginica
141,6.7,3.1,5.6,2.4,L. virginica
142,6.9,3.1,5.1,2.3,L. virginica
143,5.8,2.7,5.1,1.9,L. virginica
144,6.8,3.2,5.9,2.3,L. virginica
145,6.7,3.3,5.7,2.5,L. virginica
146,6.7,3,5.2,2.3,L. virginica
147,6.3,2.5,5,1.9,L. virginica
148,6.5,3,5.2,2,L. virginica
149,6.2,3.4,5.4,2.3,L. virginica
150,5.9,3,5.1,1.8,L. virginica
